iter	trend_lb	er_window	er_threshold	vol_lb	rebalance	dev_sharpe	dev_ann_return	dev_max_dd	dev_turnover	status
188	126	42	0.4	42	W-FRI	0.4056	0.0334	-0.2776	0.0502	discard
189	126	42	0.4	42	ME	0.3767	0.032	-0.2953	0.0168	discard
190	126	42	0.4	63	W-FRI	0.4045	0.0333	-0.2781	0.0501	discard
191	126	42	0.4	63	ME	0.3781	0.0321	-0.2953	0.0168	discard
192	126	63	0.0	21	W-FRI	0.2891	0.0178	-0.1512	0.0511	discard
193	126	63	0.0	21	ME	0.309	0.0192	-0.2215	0.0249	discard
194	126	63	0.0	42	W-FRI	0.2798	0.0167	-0.1515	0.0428	discard
195	126	63	0.0	42	ME	0.3047	0.0183	-0.2284	0.0212	discard
196	126	63	0.0	63	W-FRI	0.2694	0.016	-0.1392	0.0405	discard
197	126	63	0.0	63	ME	0.3032	0.0184	-0.2183	0.02	discard
198	126	63	0.2	21	W-FRI	0.4554	0.0412	-0.1529	0.1263	discard
199	126	63	0.2	21	ME	0.0268	-0.0039	-0.3435	0.0537	discard
200	126	63	0.2	42	W-FRI	0.4428	0.0398	-0.1522	0.125	discard
201	126	63	0.2	42	ME	0.0323	-0.0033	-0.3537	0.0533	discard
202	126	63	0.2	63	W-FRI	0.4454	0.04	-0.1535	0.1237	discard
203	126	63	0.2	63	ME	0.0367	-0.0028	-0.345	0.0531	discard
204	126	63	0.3	21	W-FRI	0.2617	0.0194	-0.1924	0.0581	discard
205	126	63	0.3	21	ME	0.1853	0.0135	-0.2279	0.0246	discard
206	126	63	0.3	42	W-FRI	0.248	0.0182	-0.1984	0.0578	discard
207	126	63	0.3	42	ME	0.1818	0.0131	-0.2297	0.0246	discard
208	126	63	0.3	63	W-FRI	0.2532	0.0187	-0.1995	0.0575	discard
209	126	63	0.3	63	ME	0.2003	0.0152	-0.2307	0.0245	discard
210	126	63	0.4	21	W-FRI	-0.4784	-0.0386	-0.4554	0.0194	discard
211	126	63	0.4	21	ME	-0.3335	-0.0292	-0.435	0.008	discard
212	126	63	0.4	42	W-FRI	-0.4805	-0.0389	-0.4571	0.0194	discard
213	126	63	0.4	42	ME	-0.3335	-0.0292	-0.435	0.008	discard
214	126	63	0.4	63	W-FRI	-0.4812	-0.0389	-0.4572	0.0194	discard
215	126	63	0.4	63	ME	-0.3335	-0.0292	-0.435	0.008	discard
216	189	21	0.0	21	W-FRI	0.242	0.0143	-0.1987	0.043	discard
217	189	21	0.0	21	ME	0.282	0.0169	-0.2032	0.0219	discard
218	189	21	0.0	42	W-FRI	0.2054	0.0114	-0.2115	0.0354	discard
219	189	21	0.0	42	ME	0.2634	0.0151	-0.2102	0.0182	discard
220	189	21	0.0	63	W-FRI	0.1998	0.0111	-0.2015	0.0331	discard
221	189	21	0.0	63	ME	0.2546	0.0147	-0.2013	0.017	discard
222	189	21	0.2	21	W-FRI	-0.0215	-0.007	-0.3153	0.2083	discard
223	189	21	0.2	21	ME	0.1393	0.0079	-0.3396	0.0698	discard
224	189	21	0.2	42	W-FRI	-0.0591	-0.0103	-0.3174	0.2075	discard
225	189	21	0.2	42	ME	0.1327	0.0073	-0.3386	0.0696	discard
226	189	21	0.2	63	W-FRI	-0.0666	-0.011	-0.3179	0.2082	discard
227	189	21	0.2	63	ME	0.1254	0.0066	-0.3438	0.0697	discard
228	189	21	0.3	21	W-FRI	0.3173	0.0259	-0.2221	0.1968	discard
229	189	21	0.3	21	ME	0.2775	0.0215	-0.3403	0.073	discard
230	189	21	0.3	42	W-FRI	0.2811	0.0223	-0.2428	0.1961	discard
231	189	21	0.3	42	ME	0.2661	0.0204	-0.3349	0.073	discard
232	189	21	0.3	63	W-FRI	0.2955	0.0237	-0.2292	0.196	discard
233	189	21	0.3	63	ME	0.2661	0.0204	-0.3429	0.073	discard
234	189	21	0.4	21	W-FRI	0.1225	0.0065	-0.289	0.1489	discard
235	189	21	0.4	21	ME	-0.1196	-0.017	-0.3646	0.054	discard
236	189	21	0.4	42	W-FRI	0.0801	0.0022	-0.3153	0.1492	discard
237	189	21	0.4	42	ME	-0.1156	-0.0166	-0.3591	0.0539	discard
238	189	21	0.4	63	W-FRI	0.0759	0.0017	-0.3204	0.149	discard
239	189	21	0.4	63	ME	-0.1235	-0.0174	-0.3613	0.0538	discard
240	189	42	0.0	21	W-FRI	0.242	0.0143	-0.1987	0.043	discard
241	189	42	0.0	21	ME	0.282	0.0169	-0.2032	0.0219	discard
242	189	42	0.0	42	W-FRI	0.2054	0.0114	-0.2115	0.0354	discard
243	189	42	0.0	42	ME	0.2634	0.0151	-0.2102	0.0182	discard
244	189	42	0.0	63	W-FRI	0.1998	0.0111	-0.2015	0.0331	discard
245	189	42	0.0	63	ME	0.2546	0.0147	-0.2013	0.017	discard
246	189	42	0.2	21	W-FRI	0.5737	0.0548	-0.2887	0.1645	discard
247	189	42	0.2	21	ME	0.0104	-0.0053	-0.3305	0.0629	discard
248	189	42	0.2	42	W-FRI	0.5387	0.0508	-0.2896	0.1624	discard
249	189	42	0.2	42	ME	-0.0124	-0.0075	-0.3216	0.0626	discard
250	189	42	0.2	63	W-FRI	0.5365	0.0504	-0.2947	0.1621	discard
251	189	42	0.2	63	ME	0.0071	-0.0055	-0.319	0.0622	discard
252	189	42	0.3	21	W-FRI	0.5837	0.0569	-0.236	0.1125	discard
253	189	42	0.3	21	ME	0.6288	0.0559	-0.2488	0.0401	discard
254	189	42	0.3	42	W-FRI	0.5611	0.0543	-0.2325	0.1111	discard
255	189	42	0.3	42	ME	0.6121	0.0543	-0.2488	0.0399	discard
256	189	42	0.3	63	W-FRI	0.5688	0.0552	-0.2305	0.1108	discard
257	189	42	0.3	63	ME	0.6203	0.055	-0.2496	0.0398	discard
258	189	42	0.4	21	W-FRI	0.389	0.0316	-0.2695	0.0495	discard
259	189	42	0.4	21	ME	0.2195	0.0161	-0.2953	0.0169	discard
260	189	42	0.4	42	W-FRI	0.3579	0.0287	-0.2697	0.0494	discard
261	189	42	0.4	42	ME	0.2155	0.0157	-0.2953	0.0169	discard
262	189	42	0.4	63	W-FRI	0.3597	0.0289	-0.2698	0.0494	discard
263	189	42	0.4	63	ME	0.2163	0.0158	-0.2953	0.0169	discard
264	189	63	0.0	21	W-FRI	0.242	0.0143	-0.1987	0.043	discard
265	189	63	0.0	21	ME	0.282	0.0169	-0.2032	0.0219	discard
266	189	63	0.0	42	W-FRI	0.2054	0.0114	-0.2115	0.0354	discard
267	189	63	0.0	42	ME	0.2634	0.0151	-0.2102	0.0182	discard
268	189	63	0.0	63	W-FRI	0.1998	0.0111	-0.2015	0.0331	discard
269	189	63	0.0	63	ME	0.2546	0.0147	-0.2013	0.017	discard
270	189	63	0.2	21	W-FRI	0.2928	0.024	-0.1989	0.1256	discard
271	189	63	0.2	21	ME	0.1357	0.008	-0.301	0.0535	discard
272	189	63	0.2	42	W-FRI	0.2787	0.0225	-0.2016	0.1244	discard
273	189	63	0.2	42	ME	0.1402	0.0084	-0.3033	0.0531	discard
274	189	63	0.2	63	W-FRI	0.276	0.0222	-0.2052	0.1232	discard
275	189	63	0.2	63	ME	0.1444	0.0089	-0.2957	0.0529	discard
276	189	63	0.3	21	W-FRI	0.2341	0.0168	-0.1924	0.0588	discard
277	189	63	0.3	21	ME	0.1518	0.0098	-0.2279	0.025	discard
278	189	63	0.3	42	W-FRI	0.2216	0.0157	-0.1984	0.0586	discard
279	189	63	0.3	42	ME	0.1488	0.0095	-0.2297	0.0249	discard
280	189	63	0.3	63	W-FRI	0.2279	0.0163	-0.1995	0.0582	discard
281	189	63	0.3	63	ME	0.167	0.0115	-0.2307	0.0249	discard
282	189	63	0.4	21	W-FRI	-0.4784	-0.0386	-0.4554	0.0194	discard
283	189	63	0.4	21	ME	-0.3335	-0.0292	-0.435	0.008	discard
284	189	63	0.4	42	W-FRI	-0.4805	-0.0389	-0.4571	0.0194	discard
285	189	63	0.4	42	ME	-0.3335	-0.0292	-0.435	0.008	discard
